SKU,Name,Description,Price,Cost Price,Category,Brand,Weight,Dimensions,Image URL,Tags,Is Active
UK001,Coca-Cola Classic 330ml,Refreshing cola soft drink in 330ml can,1.25,0.65,Beverages,Coca-Cola,0.33,6.5x6.5x12.2,https://example.com/images/coke-330ml.jpg,soft drink cola refreshing,1
UK002,Walker's Ready Salted Crisps 32.5g,Classic ready salted potato crisps,1.00,0.45,Snacks,Walker's,0.033,18x13x6,https://example.com/images/walkers-ready-salted.jpg,crisps snacks potato,1
UK003,Cadbury Dairy Milk 110g,Creamy milk chocolate bar,2.50,1.25,Confectionery,Cadbury,0.11,19x10x1,https://example.com/images/dairy-milk-110g.jpg,chocolate milk sweet,1
UK004,Tesco White Bread 800g,Fresh white sliced bread loaf,1.20,0.60,Bakery,Tesco,0.8,25x12x8,https://example.com/images/white-bread-800g.jpg,bread bakery white sliced,1
UK005,Fresh Bananas per kg,Fresh yellow bananas sold per kilogram,1.85,0.95,Fresh Produce,Fresh,1.0,variable,https://example.com/images/bananas-kg.jpg,fruit fresh healthy,1
UK006,Red Bull Energy Drink 250ml,Energy drink with caffeine and taurine,2.75,1.35,Beverages,Red Bull,0.25,5.3x5.3x17.1,https://example.com/images/redbull-250ml.jpg,energy drink caffeine,1
UK007,Kellogg's Corn Flakes 500g,Crunchy corn flakes breakfast cereal,3.50,1.75,Breakfast,Kellogg's,0.5,30x20x8,https://example.com/images/cornflakes-500g.jpg,cereal breakfast corn,1
UK008,Heinz Baked Beans 415g,Baked beans in tomato sauce,1.15,0.55,Canned Goods,Heinz,0.415,10.5x7.5x10.8,https://example.com/images/baked-beans-415g.jpg,beans canned tomato,1
UK009,PG Tips Tea Bags 80 Pack,Traditional English breakfast tea bags,4.25,2.15,Beverages,PG Tips,0.25,15x10x8,https://example.com/images/pg-tips-80.jpg,tea breakfast english,1
UK010,Nescafe Gold Instant Coffee 200g,Premium instant coffee granules,6.50,3.25,Beverages,Nescafe,0.2,12x8x16,https://example.com/images/nescafe-gold-200g.jpg,coffee instant premium,1
UK011,Hovis Wholemeal Bread 800g,Nutritious wholemeal sliced bread,1.45,0.70,Bakery,Hovis,0.8,25x12x8,https://example.com/images/hovis-wholemeal.jpg,bread wholemeal healthy,1
UK012,Andrex Toilet Tissue 9 Roll,Soft and strong toilet tissue pack,8.50,4.25,Household,Andrex,2.5,30x20x25,https://example.com/images/andrex-9roll.jpg,toilet tissue household,1
UK013,Fairy Washing Up Liquid 500ml,Concentrated washing up liquid,2.25,1.10,Household,Fairy,0.5,8x6x20,https://example.com/images/fairy-500ml.jpg,washing liquid cleaning,1
UK014,McVitie's Digestive Biscuits 400g,Classic wheat digestive biscuits,2.00,1.00,Biscuits,McVitie's,0.4,20x15x5,https://example.com/images/digestives-400g.jpg,biscuits digestive wheat,1
UK015,Mars Bar 51g,Caramel and nougat chocolate bar,1.35,0.70,Confectionery,Mars,0.051,11x2x2,https://example.com/images/mars-bar-51g.jpg,chocolate caramel nougat,1
UK016,Lucozade Original 380ml,Glucose energy drink original flavour,1.85,0.95,Beverages,Lucozade,0.38,6x6x22,https://example.com/images/lucozade-380ml.jpg,energy glucose drink,1
UK017,Warburtons Crumpets 6 Pack,Soft and fluffy crumpets ready to toast,1.75,0.85,Bakery,Warburtons,0.3,18x12x4,https://example.com/images/crumpets-6pack.jpg,crumpets toast bakery,1
UK018,Richmond Sausages 8 Pack,Pork sausages in natural casing,3.25,1.65,Meat,Richmond,0.45,20x15x3,https://example.com/images/richmond-sausages.jpg,sausages pork meat,1
UK019,Cathedral City Mature Cheddar 200g,Mature cheddar cheese block,3.75,1.90,Dairy,Cathedral City,0.2,12x8x4,https://example.com/images/cheddar-200g.jpg,cheese cheddar mature,1
UK020,Persil Non-Bio Powder 40 Wash,Non-biological washing powder,12.50,6.25,Household,Persil,2.6,25x18x12,https://example.com/images/persil-40wash.jpg,washing powder laundry,1
